run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
7,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.38000,0.29087,0.47697,0.39827,0.46706,0.47571,0.06344,0.07743,0.35631,0.40368,0.25305,0.18425,0.32706,0.26002,0.31924,0.32587,0.04359,0.06585,0.23677,0.26932,1.531703,0.000000,49866904,65589992,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.894919e+07,5.277270e-08,0.760282,0,49,49,30,1
8,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29637,0.26993,0.33320,0.29566,0.31518,0.32869,0.01498,0.03303,0.29077,0.30196,0.20472,0.17702,0.23084,0.20466,0.22342,0.22920,0.01323,0.02454,0.19978,0.20966,1.444624,0.000000,49866888,82005600,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.477886e+07,6.766423e-08,0.608091,0,50,50,30,1
8,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.41873,0.27087,0.48024,0.42801,0.46723,0.47842,0.05088,0.05041,0.39974,0.43773,0.28214,0.19155,0.33091,0.28581,0.31769,0.32836,0.03033,0.04254,0.27082,0.29346,1.497522,0.033333,49866888,65605592,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,2.088095e+07,4.789054e-08,0.760101,0,50,50,30,1
9,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29111,0.27548,0.31564,0.28964,0.30982,0.31466,0.00976,0.02502,0.28746,0.29475,0.20242,0.17416,0.22930,0.20269,0.21742,0.22604,0.01151,0.02334,0.19812,0.20672,1.428973,0.000000,49867040,81999280,23.45,49.80,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.451676e+07,6.888590e-08,0.608140,0,51,51,30,1
9,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.41218,0.27502,0.47769,0.41870,0.46164,0.47338,0.04867,0.05469,0.39400,0.43035,0.28015,0.19277,0.31208,0.28734,0.30623,0.31131,0.02756,0.02396,0.26986,0.29044,1.457127,0.033333,49867040,65599272,23.45,49.80,0.000000,0.001004,81420,30000,30240,30000,0,124339380,2.055395e+07,4.865244e-08,0.760177,0,51,51,30,1
1,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.54012,0.49063,0.70435,0.53235,0.61179,0.68567,0.04301,0.15331,0.52407,0.55618,0.43737,0.39885,0.64573,0.43049,0.46255,0.59299,0.04284,0.16249,0.42138,0.45337,1.236617,0.033333,3713344,5888648,17.86,33.37,0.000000,0.000027,2080,2070,96,1424,90,8394530,2.005663e+06,4.985883e-07,0.630594,0,43,43,30,1
1,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.61869,0.51090,0.76851,0.57419,0.75679,0.76731,0.09302,0.19312,0.58397,0.65342,0.47958,0.39547,0.59904,0.43223,0.59397,0.59818,0.07385,0.16594,0.45200,0.50715,1.328429,0.000000,3713344,4713632,17.86,33.37,0.000000,0.000027,2080,2070,96,1424,90,8394530,2.297425e+06,4.352700e-07,0.787788,0,43,43,30,1
1,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1300,2000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,0.50440,0.41245,0.79927,0.46994,0.70396,0.78021,0.11471,0.31027,0.42235,0.58645,0.34666,0.29297,0.42006,0.33550,0.40567,0.41718,0.03914,0.08168,0.31867,0.37466,1.400735,0.000000,3722496,4690080,22.28,33.60,0.000000,0.000028,701,480,92,458,0,4646984,1.877630e+06,5.325862e-07,0.793696,0,43,43,10,1
10,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.53040,0.49388,0.61275,0.52920,0.54883,0.59426,0.02056,0.06506,0.52272,0.53807,0.43856,0.41771,0.49119,0.43721,0.46538,0.48489,0.01693,0.04768,0.43224,0.44488,1.210404,0.000000,3719312,5874688,17.23,32.77,0.000000,0.000026,2082,2070,73,1393,90,8139442,1.972714e+06,5.069158e-07,0.633108,0,52,52,30,1
10,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.73240,0.55430,0.83809,0.75448,0.77568,0.82201,0.05578,0.06752,0.71157,0.75322,0.56969,0.43157,0.62442,0.57296,0.60425,0.61901,0.03266,0.04605,0.55750,0.58189,1.316808,0.000000,3719312,4700152,17.23,32.77,0.000000,0.000026,2082,2070,73,1393,90,8139442,2.724014e+06,3.671054e-07,0.791317,0,52,52,30,1
