run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
9,False,DELETE,sequential,50000,14285,0,512-4-3-0.50,512,4,3,0.500000,1200,1300,0.281797,0.139244,0.466898,0.234808,0.138289,0.692591,6,0.930044,0.078168,24,0.15419,0.07990,0.31031,0.14566,0.23029,0.29088,0.05069,0.14522,0.13526,0.17311,0.16100,0.08961,0.27431,0.16098,0.23977,0.26498,0.04772,0.10400,0.14318,0.17881,0.904812,0.633333,865528,1140336,3.00,3.00,0.001890,0.000560,300,300,90,150,0,48930,1.334547e+05,7.493179e-06,0.759011,0,51,51,30,1
1,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.32295,0.22706,0.44968,0.32871,0.38770,0.43205,0.05481,0.10333,0.30248,0.34341,0.29995,0.23448,0.39902,0.30612,0.38758,0.39791,0.04787,0.09179,0.28207,0.31782,1.073822,0.333333,2257200,2887984,6.23,25.07,0.000000,0.000106,300,90,1,90,0,26357,7.289574e+05,1.371822e-06,0.781583,0,43,43,30,1
10,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.32266,0.23159,0.44284,0.31636,0.41846,0.43981,0.05716,0.12345,0.30132,0.34400,0.31132,0.22567,0.39250,0.30928,0.38845,0.39179,0.04635,0.08250,0.29401,0.32862,1.022888,0.400000,2259672,2888728,6.24,25.10,0.000000,0.000106,300,90,1,90,0,26244,7.290990e+05,1.371556e-06,0.782238,0,52,52,30,1
2,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.34069,0.26271,0.51287,0.34156,0.45650,0.50264,0.06248,0.16108,0.31736,0.36401,0.33017,0.24883,0.61723,0.32438,0.44435,0.56731,0.07305,0.24293,0.30290,0.35744,1.052941,0.466667,2257096,2886080,6.23,25.07,0.000000,0.000106,300,90,1,90,0,26347,7.689610e+05,1.300456e-06,0.782063,0,44,44,30,1
3,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.31808,0.23587,0.38231,0.32255,0.38207,0.38225,0.04194,0.05970,0.30242,0.33374,0.30446,0.21939,0.41397,0.30722,0.38457,0.40700,0.05076,0.09978,0.28551,0.32341,1.049889,0.300000,2259968,2889296,6.24,25.13,0.000000,0.000106,300,90,1,90,0,26529,7.188527e+05,1.391106e-06,0.782186,0,45,45,30,1
4,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.32005,0.24216,0.42170,0.31940,0.41276,0.42132,0.05176,0.10193,0.30073,0.33938,0.30156,0.21849,0.42547,0.30785,0.39131,0.41688,0.05729,0.10903,0.28017,0.32295,1.037496,0.433333,2256816,2878200,6.24,25.07,0.000000,0.000106,300,90,1,90,0,26514,7.223041e+05,1.384458e-06,0.784107,0,46,46,30,1
5,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.30315,0.23892,0.39006,0.29486,0.37611,0.38981,0.04147,0.09495,0.28766,0.31863,0.29954,0.24923,0.39959,0.29627,0.35601,0.38772,0.03308,0.09145,0.28719,0.31189,0.995239,0.533333,2258288,2878408,6.24,25.10,0.000000,0.000106,300,90,1,90,0,26683,6.845941e+05,1.460720e-06,0.784561,0,47,47,30,1
6,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.31363,0.23210,0.42161,0.31295,0.38648,0.41380,0.04757,0.10085,0.29587,0.33139,0.30230,0.21737,0.39352,0.29784,0.37391,0.38807,0.04694,0.09023,0.28478,0.31983,1.050755,0.366667,2258456,2886720,6.23,25.07,0.000000,0.000106,300,90,1,90,0,26566,7.083241e+05,1.411783e-06,0.782361,0,48,48,30,1
7,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.30330,0.22971,0.38144,0.30013,0.37533,0.37993,0.04052,0.07980,0.28817,0.31843,0.28049,0.22805,0.35628,0.26252,0.34514,0.35467,0.03743,0.09215,0.26652,0.29447,1.143279,0.366667,2257968,2887912,6.24,25.10,0.000000,0.000106,300,90,1,90,0,26494,6.848371e+05,1.460201e-06,0.781869,0,49,49,30,1
8,False,DELETE,zipfian,100000,28571,0,256-20-7-0.50,256,20,7,0.500000,900,2800,0.334262,0.286481,0.550117,0.231098,0.122642,0.608874,2,0.793321,0.083351,4,0.31918,0.23052,0.39192,0.32075,0.37954,0.39032,0.04153,0.06957,0.30368,0.33469,0.29278,0.21011,0.40914,0.28908,0.34346,0.39081,0.04562,0.10173,0.27574,0.30981,1.109536,0.366667,2257576,2886888,6.24,25.10,0.000000,0.000106,300,90,1,90,0,26465,7.205756e+05,1.387779e-06,0.782010,0,50,50,30,1
