section,pattern,n,nops,mean_ratio,median_ratio,p95_ratio,p99_ratio,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p,mean_win_rate,median_win_rate,mean_mem_ratio,median_mem_ratio
STATIC,miss,100000,28571,0.9358508456546127,0.9239385,0.9006,0.9006,0.9152750457270769,0.9564266455821486,0.00390625,0.021484375,0.7000001,0.766667,0.7915516,0.7918425
STATIC,miss,1000000,285714,0.9011380716157923,0.9052965,0.8909,0.8909,0.8869440682457526,0.915332074985832,0.001953125,0.001953125,0.9900001,1.0,0.7906591000000001,0.7906445
STATIC,miss,250000,71428,0.9060705438588779,0.9072685,0.8626,0.8626,0.8764061355496157,0.9357349521681401,0.001953125,0.001953125,0.8166667,0.7833335,0.7911211,0.791266
STATIC,miss,500000,142857,0.8909109051800307,0.8915165,0.8783,0.8783,0.8837142661829945,0.8981075441770668,0.001953125,0.001953125,0.8933333,0.9,0.7907605,0.7907964999999999
STATIC,miss,50000,14285,0.9050809428938645,0.9105430000000001,0.8593,0.8593,0.8910342666291725,0.9191276191585566,0.001953125,0.001953125,0.7366666,0.733333,0.7910611,0.791224
STATIC,random,100000,28571,0.8603140676400496,0.8884525000000001,0.8079,0.8079,0.8407315001367804,0.8798966351433187,0.001953125,0.001953125,0.8566667,0.8166665,0.7917139,0.7920054999999999
STATIC,random,1000000,285714,0.8668019330962888,0.8661955,0.8660,0.8660,0.8584375118351696,0.8751663543574081,0.001953125,0.001953125,1.0,1.0,0.7917899,0.7917755
STATIC,random,250000,71428,0.8317911954565643,0.8218799999999999,0.8154,0.8154,0.8148622975114608,0.8487200934016679,0.001953125,0.001953125,0.9766667,0.9833335000000001,0.7919122,0.7920609999999999
STATIC,random,500000,142857,0.8422295059239857,0.844882,0.8314,0.8314,0.8293367766786195,0.8551222351693519,0.001953125,0.001953125,0.9666667,0.966667,0.7914505,0.791491
STATIC,random,50000,14285,0.8688156553473032,0.868691,0.8319,0.8319,0.8533003498242869,0.8843309608703195,0.001953125,0.001953125,0.8299999,0.833333,0.7920191,0.792169
STATIC,sequential,100000,28571,0.7837781815510019,0.7734540000000001,0.8082,0.8082,0.7602835199595617,0.8072728431424421,0.001953125,0.001953125,0.9633334,0.966667,0.7755395,0.7758165
STATIC,sequential,1000000,285714,0.8593772183720173,0.8405975,0.8536,0.8536,0.8189653120046494,0.8997891247393852,0.001953125,0.001953125,0.8300001,0.866667,0.7748943,0.7748809999999999
STATIC,sequential,250000,71428,0.8126879103196891,0.805663,0.8098,0.8098,0.7780639472017917,0.8473118734375865,0.001953125,0.001953125,0.89,0.866667,0.7750127,0.7751545
STATIC,sequential,500000,142857,0.8907474526131279,0.8619885,0.8936,0.8936,0.852900917580485,0.9285939876457708,0.001953125,0.001953125,0.7833333,0.8,0.7712157,0.771251
STATIC,sequential,50000,14285,0.758087466719997,0.7351019999999999,0.7440,0.7440,0.7263107120735017,0.7898642213664924,0.001953125,0.001953125,0.9633335000000001,0.966667,0.7753809,0.77554
STATIC,zipfian,100000,28571,0.8370017753872215,0.825334,0.8196,0.8196,0.8181396874627669,0.8558638633116762,0.001953125,0.001953125,0.9066667,0.9,0.7911846,0.7914675
STATIC,zipfian,1000000,285714,0.8950313371848942,0.8946510000000001,0.8891,0.8891,0.8834399664287029,0.9066227079410856,0.001953125,0.001953125,0.9,0.8999999999999999,0.782844,0.7828295000000001
STATIC,zipfian,250000,71428,0.8068759519005054,0.799972,0.8046,0.8046,0.7913324365338327,0.8224194672671782,0.001953125,0.001953125,0.9766667,0.9833335000000001,0.7907846000000001,0.790926
STATIC,zipfian,500000,142857,0.8106432141142579,0.8098645,0.8004,0.8004,0.7905450047221707,0.8307414235063451,0.001953125,0.001953125,0.9766667,1.0,0.7907605,0.7907964999999999
STATIC,zipfian,50000,14285,0.8356829687048608,0.8179675,0.8106,0.8106,0.8049442478395215,0.8664216895702002,0.001953125,0.001953125,0.9233333,0.933333,0.7911301,0.791289
